Employee,SaleTime,Amount
Kamran,2026-07-27 06:01,218.82
Kamran,2026-07-27 06:03,145.68
Tural,2026-07-27 06:06,150.44
Kamran,2026-07-27 06:11,187.06
Tural,2026-07-27 06:14,160.76
Orxan,2026-07-27 06:15,41.92
Amina,2026-07-27 06:15,166.51
Ali,2026-07-27 06:23,134.87
Emin,2026-07-27 06:27,112.46
Nurlan,2026-07-27 06:28,72.82
Kamran,2026-07-27 06:31,186.33
Kamran,2026-07-27 06:31,216.86
Kamran,2026-07-27 06:32,153.17
Kamran,2026-07-27 06:36,212.43
Kamran,2026-07-27 06:37,187.6
Orxan,2026-07-27 06:37,93.01
Kamran,2026-07-27 06:41,175.45
Kamran,2026-07-27 06:43,208.11
Kamran,2026-07-27 06:44,173.54
Nurlan,2026-07-27 06:44,60.42
Nurlan,2026-07-27 06:46,169.21
Ali,2026-07-27 06:50,89.39
Kamran,2026-07-27 06:50,214.11
Ali,2026-07-27 06:51,68.42
Kamran,2026-07-27 06:51,147.75
Kamran,2026-07-27 06:53,144.85
Kamran,2026-07-27 06:53,144.05
Ali,2026-07-27 07:00,43.25
Nurlan,2026-07-27 07:04,112.55
Nurlan,2026-07-27 07:08,122.92
Emin,2026-07-27 07:12,144.18
Amina,2026-07-27 07:14,152.32
Ali,2026-07-27 07:16,135.74
Amina,2026-07-27 07:18,89.87
Amina,2026-07-27 07:21,98.05
Nurlan,2026-07-27 07:22,59.4
Ali,2026-07-27 07:24,67.99
Nurlan,2026-07-27 07:25,40.35
Emin,2026-07-27 07:26,136.68
Nurlan,2026-07-27 07:34,111.76
Emin,2026-07-27 07:36,144.53
Kamran,2026-07-27 07:40,162.28
Kamran,2026-07-27 07:44,155.22
Orxan,2026-07-27 07:48,84.0
Nurlan,2026-07-27 07:55,74.4
Kamran,2026-07-27 07:56,209.17
Kamran,2026-07-27 08:02,145.12
Orxan,2026-07-27 08:04,48.38
Kamran,2026-07-27 08:05,187.08
Kamran,2026-07-27 08:12,202.77
Amina,2026-07-27 08:13,99.38
Orxan,2026-07-27 08:15,51.01
Kamran,2026-07-27 08:16,209.96
Orxan,2026-07-27 08:22,45.71
Kamran,2026-07-27 08:24,214.12
Orxan,2026-07-27 08:24,37.3
Amina,2026-07-27 08:29,94.01
Ali,2026-07-27 08:30,71.84
Amina,2026-07-27 08:30,140.45
